Model,Image,GT Gender,GT Age,GT Smile,Pred Gender,Pred Age,Pred Smile,Time
F32,182643.jpg,Male,Young,not Smiling,0.99999636,0.9960722,0.0015328325,32
F32,182648.jpg,Male,Not Young,not Smiling,0.9997397,0.30650944,0.012510001,32
F32,182686.jpg,Male,Young,Smiling,0.9999999,0.66697204,0.999623,32
F32,182753.jpg,Male,Young,Smiling,0.9999991,0.9533767,0.877359,32
F32,182797.jpg,Male,Not Young,Smiling,0.9999996,0.17478962,0.996247,32
F32,182918.jpg,Male,Young,Smiling,0.9811971,0.70913714,0.92425966,32
F32,182967.jpg,Male,Not Young,not Smiling,1.0,0.00045803,0.0054587326,32
F32,182968.jpg,Male,Not Young,Smiling,0.9999988,0.0023796435,0.9409496,32
F32,182986.jpg,Male,Not Young,Smiling,0.9999995,0.3260995,0.9900205,31
F32,182988.jpg,Male,Not Young,not Smiling,0.99999905,0.043966107,0.011079597,32
F32,183309.jpg,Male,Not Young,Smiling,0.85511017,0.28616023,0.9944905,32
F32,183346.jpg,Female,Young,Smiling,0.000000000111874565,0.9254378,0.9953913,33
F32,183405.jpg,Female,Not Young,Smiling,0.0000006760637,0.22110364,0.99677,31
F32,183426.jpg,Female,Young,not Smiling,0.000000038245034,0.99956757,0.41957793,32
F32,183434.jpg,Female,Young,not Smiling,0.0000070590595,0.9946664,0.04499262,32
F32,183512.jpg,Female,Not Young,Smiling,0.0000001175628,0.08820759,0.9997941,32
F32,183534.jpg,Female,Not Young,Smiling,0.0006677325,0.12645383,0.958564,32
F32,183566.jpg,Male,Not Young,not Smiling,0.93729454,0.30801636,0.00010944794,32
F32,183578.jpg,Female,Not Young,Smiling,0.000358011,0.19267832,0.9987911,32
F32,183603.jpg,Female,Not Young,not Smiling,0.000051219686,0.10049503,0.09925081,32
F16,182643.jpg,Male,Young,not Smiling,0.9999965,0.996112,0.0015415745,32
F16,182648.jpg,Male,Not Young,not Smiling,0.99974805,0.3082847,0.012254855,32
F16,182686.jpg,Male,Young,Smiling,0.9999999,0.6732625,0.99962664,32
F16,182753.jpg,Male,Young,Smiling,0.99999917,0.95357937,0.87776595,32
F16,182797.jpg,Male,Not Young,Smiling,0.9999996,0.17272174,0.996078,32
F16,182918.jpg,Male,Young,Smiling,0.98190236,0.70767915,0.9243776,32
F16,182967.jpg,Male,Not Young,not Smiling,1.0,0.0004499809,0.005587355,32
F16,182968.jpg,Male,Not Young,Smiling,0.99999875,0.0023737047,0.9418415,32
F16,182986.jpg,Male,Not Young,Smiling,0.9999995,0.3294567,0.99028313,32
F16,182988.jpg,Male,Not Young,not Smiling,0.99999905,0.04467745,0.011906437,32
F16,183309.jpg,Male,Not Young,Smiling,0.85714793,0.28353295,0.99446,32
F16,183346.jpg,Female,Young,Smiling,0.00000000011545623,0.9236571,0.99540555,32
F16,183405.jpg,Female,Not Young,Smiling,0.00000068569125,0.2182388,0.9968213,32
F16,183426.jpg,Female,Young,not Smiling,0.000000039918557,0.9995721,0.41377565,32
F16,183434.jpg,Female,Young,not Smiling,0.000007192001,0.9943647,0.0451464,32
F16,183512.jpg,Female,Not Young,Smiling,0.00000012339267,0.08770636,0.9997836,32
F16,183534.jpg,Female,Not Young,Smiling,0.0006789778,0.1272531,0.9595043,32
F16,183566.jpg,Male,Not Young,not Smiling,0.93684757,0.30494246,0.00011408431,32
F16,183578.jpg,Female,Not Young,Smiling,0.0003562859,0.18879879,0.9988216,32
F16,183603.jpg,Female,Not Young,not Smiling,0.0000491567,0.10099786,0.10068854,33
I8,182643.jpg,Male,Young,not Smiling,0.99609375,0.99609375,0.0,18
I8,182648.jpg,Male,Not Young,not Smiling,0.99609375,0.26171875,0.0078125,17
I8,182686.jpg,Male,Young,Smiling,0.99609375,0.66796875,0.99609375,17
I8,182753.jpg,Male,Young,Smiling,0.99609375,0.96484375,0.76953125,17
I8,182797.jpg,Male,Not Young,Smiling,0.99609375,0.19921875,0.99609375,18
I8,182918.jpg,Male,Not Young,Smiling,0.96484375,0.5,0.890625,17
I8,182967.jpg,Male,Not Young,not Smiling,0.99609375,0.0,0.00390625,18
I8,182968.jpg,Male,Not Young,Smiling,0.99609375,0.0,0.87109375,18
I8,182986.jpg,Male,Not Young,Smiling,0.99609375,0.23046875,0.98828125,17
I8,182988.jpg,Male,Not Young,not Smiling,0.99609375,0.01171875,0.01171875,18
I8,183309.jpg,Male,Not Young,Smiling,0.91796875,0.4140625,0.99609375,18
I8,183346.jpg,Female,Young,Smiling,0.0,0.87109375,0.984375,18
I8,183405.jpg,Female,Not Young,Smiling,0.0,0.1484375,0.99609375,18
I8,183426.jpg,Female,Young,not Smiling,0.0,0.99609375,0.04296875,17
I8,183434.jpg,Female,Young,not Smiling,0.0,0.9921875,0.04296875,17
I8,183512.jpg,Female,Not Young,Smiling,0.0,0.09375,0.99609375,18
I8,183534.jpg,Female,Not Young,Smiling,0.0,0.109375,0.98828125,17
I8,183566.jpg,Male,Not Young,not Smiling,0.9921875,0.12890625,0.0,18
I8,183578.jpg,Female,Not Young,Smiling,0.0,0.12890625,0.99609375,17
I8,183603.jpg,Female,Not Young,not Smiling,0.0,0.109375,0.05078125,17
