Filename,Male prediction,Young prediction,Smile prediction,Time,Male,Young,Smiling
182643.jpg,0.99609375,0.99609375,0.0,1.3255000085337088,1,1,0
182648.jpg,0.99609375,0.296875,0.00390625,1.3109999999869615,1,1,0
182686.jpg,0.99609375,0.54296875,0.99609375,1.2986000074306503,1,1,1
182753.jpg,0.99609375,0.95703125,0.94921875,1.2879999994765967,1,1,1
182797.jpg,0.99609375,0.1484375,0.99609375,1.288400002522394,1,1,1
182918.jpg,0.95703125,0.5,0.87109375,1.3120000076014549,1,0,1
182967.jpg,0.99609375,0.0,0.0078125,1.2941000022692606,1,0,0
182968.jpg,0.99609375,0.00390625,0.94140625,1.3122000091243535,1,0,1
182986.jpg,0.99609375,0.19921875,0.9921875,1.3021999911870807,1,0,1
182988.jpg,0.99609375,0.0078125,0.01953125,1.3039000041317195,1,0,0
183309.jpg,0.890625,0.37109375,0.99609375,1.2955999991390854,0,1,1
183346.jpg,0.0,0.87109375,0.98828125,1.2857000110670924,0,1,1
183405.jpg,0.0,0.171875,0.99609375,1.2896999978693202,0,1,1
183426.jpg,0.0,0.99609375,0.08203125,1.2855999957537279,0,1,0
183434.jpg,0.0,0.9921875,0.05078125,1.30899999930989,0,1,0
183512.jpg,0.0,0.0703125,0.99609375,1.298299990594387,0,0,1
183534.jpg,0.0,0.109375,0.95703125,1.306299993302673,0,0,1
183566.jpg,0.9921875,0.12890625,0.0,1.3055000017629936,0,1,0
183578.jpg,0.0,0.08203125,0.99609375,1.3029999972786754,0,0,1
183603.jpg,0.0,0.12890625,0.05078125,1.3030999980401248,0,0,0
